first_name,last_name,price,above_100
Gerald,Martinez,57.54786356,
Eric,King,59.87926423,
Sylvia,Walters,110.94631320,true
Jonathan,Lane,64.46710142,
Matthew,Turner,180.26287020,true
Jeffrey,Bauer,30.51584181,
Jessica,Shaffer,54.90193651,
Chris,Spencer,251.37528310,true
Mary,Clarke,236.05298790,true
Timothy,Mendoza,105.98348160,true
Alicia,Hoffman,182.34369900,true
Joseph,Gardner,144.80913440,true
Rachael,Rangel,297.94964060,true
Jeffrey,Harrington,194.27163380,true
Sophia,Randolph,158.54312600,true
Debbie,Freeman,275.87191670,true
Matthew,Braun,201.77496570,true
Sheri,Hudson,268.37484020,true
Mary,King,204.07857540,true
Beth,Davis,155.06806480,true
Margaret,Castillo,193.90632440,true
Tommy,Sandoval,172.28304100,true
Christopher,Hines,46.55435299,
Richard,Wright,208.35969690,true
Michael,Brown,278.52308860,true
Nathan,Yu,134.18950980,true
Cameron,Ford,248.89213820,true
Carla,Hayes,265.37457590,true
Marissa,Matthews,136.09257770,true
Samuel,Thompson,237.15924160,true
Gary,Figueroa,168.94476840,true
Michael,West,146.88868490,true
Martin,Walton,140.34005760,true
Zachary,Lee,8.66730158,
Christopher,Stephenson,67.01185633,
Eric,Ortiz,117.72424580,true
Kara,Pittman,56.23964364,
Andrew,Cowan,295.93918120,true
Rhonda,Moss,259.03975050,true
Sarah,Williams,92.82627714,
Carolyn,Collins,236.24728880,true
Larry,Mooney,135.27017940,true
Laura,Livingston,294.25806990,true
Candace,Mckenzie,84.58145758,
Candace,Wallace,124.74645430,true
Jason,White,218.43180410,true
Patricia,Reynolds,89.01176826,
Michael,Ellison,244.47171060,true
Melissa,Robles,238.45609670,true
Heidi,Fry,109.62647170,true
James,Smith,163.95738560,true
Charles,Ruiz,48.45811847,
Stephanie,Green,9.14497419,
Stacey,Garcia,106.61920390,true
Glenda,Burke,206.36350630,true
Zachary,Alvarez,104.05236900,true
Rachel,Shaw,2.44821151,
Carmen,Beard,269.62368500,true
Tony,Daniels,186.90357750,true
Randy,Mora,70.74105982,
George,Aguirre,128.94975080,true
James,Miller,297.04056390,true
Jacqueline,Williams,17.30622156,
April,Taylor,121.28989030,true
Robert,Johnson,131.62377790,true
Gary,White,280.97065060,true
Kim,Lowe,192.77587560,true
Samantha,Jones,136.34155640,true
Randy,Lozano,16.30104965,
Arthur,Chavez,6.90379524,
Melissa,Miller,162.60669450,true
Leslie,Mccormick,282.50210660,true
Carlos,Rubio,63.21802404,
David,York,86.53219266,
Gabriella,Anthony,7.63864541,
Olivia,Poole,117.85417200,true
Wayne,Wilson,74.67047228,
Elizabeth,Moore,267.39881360,true
Janice,Campbell,33.45339810,
Julie,Johnson,63.64156782,
Misty,Cantrell,189.03920910,true
Robert,Soto,109.01383570,true
Brenda,Cowan,60.84957659,
Kelly,Guerrero,259.51121570,true
David,Nichols,19.48524858,
Kayla,Taylor,186.23562830,true
Antonio,Garcia,125.47721260,true
Tyler,Cisneros,186.58982950,true
Jillian,Crawford,158.81727730,true
Karl,Pierce,132.77468110,true
Joann,Taylor,276.96219620,true
Jennifer,Jenkins,59.12858208,
Nancy,Brown,78.87073418,
Emma,Munoz,120.84287570,true
Shawn,Galloway,141.02986220,true
Melissa,Mcguire,213.08212040,true
Bryan,Chavez,125.39615600,true
Fernando,Salazar,256.15373050,true
Megan,Moore,251.34779850,true
Robert,Williams,175.20972500,true
Dennis,Sanford,29.45043264,
Kimberly,Herrera,154.80765050,true
Gloria,Potts,289.10493530,true
Suzanne,Barnett,8.47099535,
Leah,Myers,44.55797390,
Kylie,Thomas,13.45341602,
Amanda,Murphy,50.55321552,
Christopher,Matthews,282.36349710,true
Nicole,Parks,52.28399767,
Bobby,Martin,205.48996950,true
Kevin,Chambers,121.17110160,true
Kimberly,Lawson,250.28807420,true
Rachel,Lopez,101.88811230,true
Christopher,Clay,219.38450880,true
Daniel,Martin,0.30019336,
William,Taylor,66.55747014,
Steven,Johnson,111.29328200,true
Daniel,Miller,80.57756789,
Taylor,Bryant,187.63154080,true
Lauren,Jones,194.79263120,true
Lindsey,Robertson,22.73764686,
Allison,Thomas,168.33349750,true
Vernon,Bishop,216.18704460,true
Susan,Parsons,132.91852600,true
Brady,Snyder,210.39608630,true
Brent,Mcgrath,174.69835670,true
Peter,Smith,278.60801810,true
Deborah,Fox,248.12282340,true
Heather,Collins,147.42740740,true
Phillip,Meyers,102.79774720,true
Nicholas,Hubbard,275.40083640,true
Misty,Ramirez,62.31681444,
Scott,Johnson,85.87388958,
Jay,Nixon,253.46747870,true
Tony,Hall,61.19716522,
Taylor,Smith,41.49264584,
Mark,Reynolds,70.49794436,
Marilyn,Christensen,155.48545330,true
Denise,Atkins,185.45160100,true
Melissa,Gonzales,228.00259970,true
Henry,Hoffman,229.66288760,true
Daisy,Davenport,59.52753518,
Christopher,Paul,122.71316990,true
Kevin,Craig,148.20105160,true
Natalie,Coleman,122.14404520,true
Jeremy,Strickland,130.84356620,true
Gary,Bonilla,162.61525340,true
Amanda,Richards,236.59571640,true
Heidi,Perez,245.17572280,true
Robert,Johnson,174.69223460,true
Gary,Mills,183.83632120,true
Chelsea,Caldwell,16.12083718,
John,Frye,223.27741750,true
Michael,Strong,220.41223220,true
Christopher,Delgado,85.78279752,
Whitney,Wallace,253.45561830,true
Rebecca,Martinez,59.68320226,
Marissa,Mccoy,116.96346530,true
Ricky,Kerr,38.99584409,
Anna,Campbell,249.92134040,true
Marie,Walters,73.38808729,
Robert,Martin,38.22288302,
Marc,Davis,162.28026190,true
James,Dixon,159.37943280,true
Vicki,Ramirez,186.16024270,true
Krista,Campbell,161.23384360,true
Lauren,Patterson,170.21232730,true
Megan,Clark,290.25815560,true
Judy,Zimmerman,219.58882550,true
Joseph,Williams,210.78418590,true
Lori,Acevedo,210.66028990,true
William,Taylor,275.63317630,true
Dawn,Snyder,248.98404170,true
Jennifer,Simmons,80.68353707,
Alyssa,Nunez,163.80090020,true
Robert,Black,63.92800482,
Julia,Young,239.23966830,true
Melinda,Barnes,227.25063520,true
Brett,Armstrong,154.13418360,true
Erik,Stevenson,246.00407220,true
Daniel,George,34.80089308,
Lindsey,Jones,197.70203950,true
Virginia,Lopez,227.42559150,true
Andrew,Brown,92.88318049,
Donna,Lowery,264.83260940,true
Alexis,Andrade,6.31398518,
Alyssa,Pierce,47.74032516,
Tara,Johnson,38.26768696,
Michael,Brady,162.05943220,true
James,Rhodes,51.92414009,
Pamela,Scott,42.43333392,
Martin,Ward,170.94982480,true
Kristina,Hernandez,107.69157180,true
Robert,Bush,87.18004191,
Rebecca,Larson,214.38957250,true
Brittany,Watson,190.52001800,true
Ryan,Ramirez,249.72879130,true
Edward,Burns,87.64996993,
John,Prince,31.73842034,
Ashley,Boyer,107.66259920,true
James,Dean,61.69545420,
Natalie,Gordon,268.28000940,true
Ryan,Smith,136.20781300,true
Stephen,Thompson,54.29639714,
William,Delgado,96.25442517,
Brian,Johnson,124.92920800,true
James,Patel,216.60564290,true
Allen,Rogers,145.43424670,true
Aimee,Reyes,277.66568150,true
Susan,Williams,255.21535320,true
Edward,Griffin,108.62052220,true
Debra,Baker,296.50030890,true
Yvette,Kramer,279.93711740,true
Alyssa,Williams,270.89722410,true
John,Cunningham,173.02428330,true
Dana,Gilbert,86.51917139,
Stephen,Henry,146.15155780,true
Bradley,James,137.98249350,true
Melinda,Peters,16.83003044,
Robert,Goodman,213.54239840,true
Leslie,Moore,195.96307990,true
Sarah,Gray,270.79472880,true
Amy,Haynes,258.50627730,true
Gary,Dean,184.42515200,true
Jonathan,Duran,224.53614170,true
Elizabeth,Ruiz,124.66944950,true
Caitlin,Lewis,196.35989590,true
Micheal,Blackburn,10.44317525,
Sheryl,Mccarthy,159.95197310,true
Lisa,Smith,150.91226790,true
Jared,Juarez,247.56064570,true
Brett,Castro,217.33285850,true
Jessica,Murray,175.30221840,true
Austin,Coffey,16.25913962,
Shelly,Jacobs,3.85676205,
Elizabeth,Logan,298.74232810,true
Cody,Anderson,128.08149670,true
Kayla,Wood,256.05287600,true
Paul,Singh,157.96361690,true
James,Mays,245.24330720,true
Thomas,Moore,244.59149820,true
Linda,Pacheco,299.60400700,true
Jenny,Clark,66.32311808,
Patrick,Guzman,223.49659810,true
Scott,Peters,229.48733100,true
John,Stevenson,23.09927229,
Kristina,Brooks,154.68058260,true
Nancy,Aguilar,63.38787527,
Robert,Brown,132.73295360,true
Jessica,Williams,255.95815770,true
David,Brown,290.59448060,true
Dorothy,Munoz,242.56454000,true
Jason,Lawson,76.09246622,
James,Hall,167.96983140,true
Patricia,Carpenter,46.08147123,
Jeff,Cardenas,64.36052627,
Michelle,Johnson,19.18945036,
Frank,Madden,17.34021424,
George,Tanner,291.42926530,true
Dylan,Johnson,40.65328581,
Pamela,King,282.48176470,true
Jesse,Frazier,95.66568525,
Edward,Russell,103.22359130,true
Diana,Mcdonald,183.09643600,true
Randy,Dawson,192.14415140,true
Jasmine,Williams,286.16923360,true
Robert,Smith,124.21900700,true
Sara,Young,183.99448580,true
Samantha,Gonzalez,205.58992570,true
Christina,Torres,286.26816190,true
Maria,Bailey,141.90762940,true
Charles,Bartlett,94.22658657,
Natalie,Parker,238.01615890,true
Paula,Hernandez,48.88381678,
Jessica,Jenkins,14.94777896,
Drew,Henson,223.07613090,true
Michael,Davis,17.98090899,
Ian,Ramos,23.68465648,
Anna,Wright,235.58245960,true
Ashley,Anderson,74.40865878,
Jennifer,Wright,298.12787730,true
Nicole,Lopez,67.72888616,
Tara,Ellis,21.92761435,
Hannah,Elliott,42.35003061,
Gavin,Rodriguez,116.36642420,true
Johnny,Jackson,291.59689010,true
Martin,Garrett,147.06705560,true
Terri,Hayes,167.36096730,true
Adam,Huang,260.84093570,true
Carolyn,Garner,104.41065350,true
Lisa,Lee,130.22025110,true
Rodney,Escobar,8.71160024,
Michael,Johnson,144.54500630,true
Michelle,Carter,55.94822858,
John,Dunn,81.54369830,
Terry,Pierce,297.86618240,true
David,Buck,258.79109040,true
Jennifer,Newman,149.30963630,true
Cynthia,Lee,246.59341960,true
Sylvia,Clark,299.52523510,true
Joseph,Taylor,86.08285036,
Kathleen,Barton,37.42180870,
Michael,Harris,52.86340979,
Eric,Benson,172.19672180,true
Curtis,Butler,44.51322087,
Brittany,Le,51.04878875,
Jeremiah,Sims,101.16179400,true
David,Davis,290.42275470,true
Tiffany,Bond,181.48954790,true
Patricia,Chen,61.60059465,
William,Crawford,181.76037490,true
Christina,Roberts,29.28680092,
Jerome,Scott,232.14413360,true
Jeffery,Walker,272.08402760,true
Todd,Alvarez,212.17336320,true
John,Henry,223.99118580,true
James,Miles,156.36757780,true
Michael,Downs,31.19720611,
Kayla,Wheeler,6.09591101,
Charles,Martin,161.27522870,true
Harold,Bennett,135.04235500,true
Michael,Swanson,200.39235280,true
Janet,Mcdonald,79.80353707,
Brett,Willis,244.40641150,true
Jacob,Smith,27.92322882,
Alexa,Webb,167.56885850,true
Louis,Klein,40.12200004,
Tony,Yu,15.74238645,
Lisa,Goodman,121.07840960,true
Kimberly,Hernandez,36.97352302,
Phillip,Friedman,145.84183080,true
Brian,Lam,2.90039449,
Kristin,Wilkins,251.85102870,true
Joshua,Lynch,188.87811100,true
Blake,Mclaughlin,276.65121570,true
Billy,Olsen,10.00480704,
Shawn,Brock,179.61580860,true
Danielle,Jones,222.69520760,true
Jim,Gomez,60.12919733,
Sabrina,Henderson,178.74538530,true
David,Pennington,245.31840120,true
Deborah,Williams,137.01597100,true
Stephanie,Bowman,227.00472040,true
Joseph,Frazier,176.45330230,true
Ryan,Mclaughlin,249.86437600,true
Tony,Hall,135.85509590,true
Timothy,Martin,289.26536370,true
John,Obrien,261.84812160,true
Barbara,Johnson,53.80589508,
Brandon,Marshall,139.84778270,true
Carrie,Miller,11.55550873,
Samantha,Dean,261.61934070,true
Jamie,Wilson,87.74932378,
Carlos,Acosta,236.60352960,true
Amy,Bennett,228.74945780,true
Dominique,Wells,116.64359540,true
Sarah,Bright,237.51607830,true
Michael,Barton,111.58833920,true
Rebecca,Anderson,172.30626420,true
Megan,Riggs,31.41542458,
Whitney,Andrews,44.11769930,
Catherine,Jones,127.01351220,true
William,Andrews,236.21807630,true
Kathleen,Edwards,158.32395380,true
Roger,Frost,220.46888740,true
Justin,Johnson,255.84916080,true
Valerie,Young,265.17025770,true
Samantha,Perez,239.94697970,true
Devin,Allen,72.15833791,
Stephanie,Little,238.92387280,true
Melanie,Miller,27.50704750,
Erica,Beck,2.40852640,
Toni,Dunn,168.37336200,true
Eric,Dunn,211.89758910,true
David,Jackson,169.35505290,true
Melanie,Gates,94.66629008,
Heather,Pierce,17.41061969,
Jordan,Lewis,153.01461740,true
Michele,Johnson,255.71498010,true
Samantha,Ryan,249.49252610,true
Christopher,Hudson,201.99975180,true
Zachary,Williams,106.59921640,true
Donna,Davis,66.72879991,
Jordan,Erickson,237.77207480,true
Christopher,Nolan,88.74278260,
Evelyn,Hanna,11.36458787,
Jason,Johnson,250.23147020,true
Barbara,Caldwell,224.71158490,true
Ronald,Huff,7.22054346,
Holly,Norris,216.23051090,true
Derrick,Carter,11.83791299,
Kenneth,Golden,285.85081690,true
Grace,Edwards,70.08655795,
Jonathan,Rios,57.71259736,
Mackenzie,Miller,265.59417320,true
Tammy,Taylor,138.85598570,true
Reginald,King,207.33056060,true
Matthew,Fletcher,130.55916120,true
Elizabeth,Jordan,177.71243550,true
Sally,Santiago,45.11902986,
James,Johnson,12.89573538,
Jason,Saunders,242.84373860,true
Carol,Hernandez,4.62437064,
Kendra,Dawson,291.52127040,true
James,Hess,58.42698092,
Michael,Stokes,25.51886602,
Jeffrey,Martinez,147.69037910,true
Joseph,Bell,102.98742820,true
Pamela,Black,140.71938900,true
Robert,Jordan,100.47110110,true
Kathy,Baker,263.55118990,true
Brian,Bailey,115.36283160,true
Mitchell,Clark,190.28579370,true
Kelly,Mcintyre,168.73442690,true
Susan,Ali,260.58212590,true
Latoya,Gonzales,205.04242220,true
Olivia,Mayo,251.53931630,true
Thomas,Anderson,221.03202140,true
Todd,Jennings,182.39385070,true
Paul,Dixon,22.25760841,
Julie,Torres,130.67875590,true
James,Miller,202.22964920,true
John,Howard,80.73869922,
Anne,Savage,134.04054970,true
Richard,Wilson,226.89171340,true
Amber,Esparza,187.57778240,true
Todd,Armstrong,99.18946135,
Aaron,Richardson,118.45568240,true
Gregory,Pollard,234.13823680,true
Jon,Butler,225.76783070,true
Chelsea,Madden,116.62292130,true
Misty,Ramos,234.08371030,true
Ryan,Murphy,233.78728100,true
Brittany,Sandoval,259.16151630,true
Rose,Stanton,132.58437240,true
Kristen,Banks,287.00923930,true
Julia,Stokes,140.31256620,true
Paul,Phillips,186.00436500,true
Amber,Thompson,128.40386520,true
Valerie,Norton,278.47329200,true
Adam,Parker,228.17804490,true
Jennifer,Gonzales,201.95772230,true
Jacqueline,Hernandez,260.08607400,true
Cory,Walker,276.89516610,true
Jennifer,Miller,220.52021450,true
Dawn,Bond,270.36049050,true
Tara,Daniel,247.69265520,true
Rebecca,Thompson,136.49071520,true
Victor,Serrano,260.12170480,true
Elizabeth,Bell,55.22085800,
Julie,Coleman,122.62926730,true
Jennifer,Brown,8.63462180,
Jessica,Moore,266.64723630,true
John,Ramirez,160.94015310,true
Becky,Hall,271.12217720,true
Christine,Smith,295.80399000,true
Christopher,Osborne,146.23292340,true
Jacob,Hernandez,7.99958664,
Jennifer,Rogers,128.51339670,true
Tammy,Young,19.64948762,
James,Lewis,56.04829693,
Charles,Stanley,74.11487320,
Christina,Garcia,85.95341522,
Heather,Davis,74.29698857,
Ashley,Fuentes,228.88080440,true
Jorge,Brown,2.66801626,
Sierra,Park,205.52585990,true
Todd,Miller,272.99470160,true
Jeffrey,Sanchez,71.25953585,
Crystal,Luna,99.98305120,
Devin,Flores,60.75152093,
Bianca,Martin,123.53568540,true
Danielle,Snyder,26.67738087,
Edward,Carney,265.06902450,true
Joseph,Grimes,268.75292590,true
April,Fowler,164.80773700,true
Michelle,Mccoy,145.09960840,true
Alicia,Stone,21.30617961,
Micheal,Lloyd,215.17326240,true
Richard,Ortiz,148.91674490,true
Jasmine,Reyes,44.61653265,
Tony,Smith,114.40259460,true
Mary,Melton,198.30583600,true
William,Griffin,146.08138670,true
Scott,Vargas,58.25361228,
Adam,Guerra,13.06034675,
Christina,Vang,215.29714970,true
Nicole,Williams,189.19024670,true
Erica,Powers,142.79337840,true
Angela,Garcia,175.25618350,true
Melissa,Brown,257.90268460,true
John,Santiago,55.75051528,
Donald,Nelson,20.74710164,
Misty,Bell,263.00637350,true
Vanessa,Barnes,81.07265035,
Brian,Austin,212.64893660,true
Jeffrey,King,252.28968770,true
Levi,Vaughn,142.12244760,true
Melanie,Blake,244.24965180,true
Marvin,Franklin,219.66976210,true
Angela,Massey,110.59227760,true
Lisa,Cole,202.20327660,true
George,Stark,103.63048440,true
Jeffrey,Salas,232.95865280,true
Richard,Reeves,85.83249893,
Heather,Maldonado,292.41016720,true
Shelly,Mcdaniel,267.56680470,true
David,Ryan,80.92148227,
Tyler,Trevino,75.70611538,
Christina,Jackson,155.48558240,true
Jodi,Peterson,20.74948998,
Melissa,Carney,42.02372260,
David,Cole,113.42413670,true
Ricardo,Weber,215.47652910,true
Jessica,Mckenzie,280.97077510,true
James,Ramirez,36.28177824,
Jeffrey,Wise,77.17375689,
Brandy,Fisher,169.58005240,true
Renee,Barrera,246.01478110,true
Melanie,Wiggins,14.97387711,
Alexander,Mckee,171.60374680,true
Sheryl,Hill,9.16191992,
Sandra,White,272.98784190,true
Christopher,Thompson,22.06905227,
Daniel,Smith,130.75264110,true
Theresa,Johnson,61.15255402,
Kristopher,Cunningham,127.42968290,true
Nathan,Morgan,166.21275710,true
David,Murray,110.60256740,true
April,Taylor,2.03380309,
Daniel,Herrera,245.14091370,true
John,Mcpherson,200.32530030,true
Scott,Simmons,44.45087327,
Gary,Tran,86.68368261,
Erica,Vaughn,289.79228760,true
Jennifer,Peterson,179.35994320,true
April,Mccormick,219.60906190,true
Justin,Davis,39.14509514,
Julia,Hall,163.15337080,true
Anna,Cunningham,188.93762930,true
Jacob,Stevens,233.22577030,true
Jerry,Payne,169.62381260,true
Mark,Collins,117.62228180,true
Benjamin,Clark,93.10220462,
Lisa,Norton,17.32317763,
Christopher,Smith,81.45143196,
Mary,Myers,37.44740126,
Stephanie,Skinner,6.45011541,
Dave,Kelly,121.97572950,true
Patricia,Gallagher,196.37117800,true
Shaun,Holloway,39.44032807,
Marc,Love,262.27209820,true
Michael,Mayer,41.42900813,
Mason,Rodriguez,162.79196520,true
Jason,Payne,83.27946270,
Johnny,Hicks,74.94437940,
Lisa,Rodgers,32.10622464,
Sarah,Tyler,87.15157534,
Brian,Rodriguez,26.08165150,
Charlene,Jones,246.88532800,true
Scott,Lawrence,227.61395650,true
Carol,Patrick,140.45168070,true
Jessica,Gibson,60.11999568,
Linda,Sullivan,4.59757784,
Donna,Carrillo,237.82591110,true
Scott,Baker,227.47050540,true
Brian,Jensen,174.96712220,true
James,Sosa,81.43216331,
Veronica,Zavala,51.45914813,
Jenny,Fields,186.16929760,true
George,Monroe,230.84556030,true
Michael,Smith,153.70561770,true
Kevin,Oliver,190.39769670,true
Nicholas,Mejia,13.52272289,
Phillip,Logan,169.72317740,true
Jamie,Jackson,299.18465760,true
Thomas,Alvarez,72.23090551,
Kaitlin,Lawson,116.94347040,true
Carlos,Wagner,268.21582020,true
Christopher,Anderson,45.61401189,
Roberto,Sparks,113.76759850,true
Julie,Oneal,214.06925470,true
Megan,Friedman,240.35183530,true
Cheryl,Taylor,96.58849728,
Jeffrey,Hatfield,241.51036660,true
James,Phillips,18.98205370,
Jessica,Moore,128.92241930,true
Eric,Richards,79.96034999,
Rebecca,Mitchell,240.75571030,true
Anna,Patrick,158.13197000,true
Eric,Schmidt,197.34383040,true
Mark,Campbell,156.89477740,true
Taylor,Oconnell,190.58686480,true
Debra,Peters,70.77282649,
Richard,Anderson,99.64762699,
William,Russell,201.20675770,true
Ryan,Mcdaniel,245.97207040,true
Jacqueline,Frazier,191.72866030,true
Steven,Stuart,32.13545499,
Emily,Rodriguez,90.35267623,
Ryan,Perez,28.24313981,
Lauren,Hahn,287.31523870,true
Megan,Lopez,127.44342040,true
Matthew,Lucero,194.01461420,true
Joseph,Perez,52.96715715,
Kimberly,Wright,153.63786060,true
Donald,Braun,16.16466094,
Savannah,Reese,156.40625630,true
Leslie,Wiggins,65.73844854,
Deanna,Gonzalez,26.46654614,
Derrick,Brown,22.81013853,
Meghan,Davis,116.30375040,true
Faith,Edwards,163.63504380,true
Stephanie,Morgan,160.76157740,true
Laura,Vargas,17.12739612,
Caleb,Singh,55.99219306,
Cassandra,Andrade,189.37322310,true
Robert,Hall,183.85108530,true
Kenneth,Hill,6.34111431,
David,Brown,136.85914720,true
Sarah,Lewis,237.12288920,true
Stephen,Meyers,261.27859890,true
Victor,Becker,71.86420397,
Brad,Huff,150.79292870,true
Thomas,Sanchez,18.39675475,
Michael,Chapman,229.96025550,true
Stephen,Lam,89.72241118,
Theresa,Wells,80.07481776,
Richard,Barrera,55.20716243,
Kelly,Boyle,237.05159810,true
Alexander,Richardson,21.98915208,
James,Hicks,177.05152970,true
Todd,Simon,93.74886446,
Jason,Meyer,114.07688010,true
Matthew,Moore,150.47071030,true
Lindsay,Rivera,108.13028620,true
Michael,Peterson,253.49409660,true
Jennifer,Martin,193.19626020,true
Martin,Solomon,186.44926000,true
Rebecca,Quinn,72.46973743,
Kerry,Branch,9.47433297,
Leslie,Ruiz,219.32926410,true
Joseph,Howard,86.76006819,
Rebecca,Wright,233.51237870,true
Jacqueline,Phillips,266.44188080,true
Wesley,Erickson,134.59996920,true
Janet,West,225.89938270,true
James,Barnett,237.58789660,true
Eric,Scott,252.83163030,true
James,Jones,250.71734870,true
Joshua,Baker,87.85407145,
Kathleen,Baker,260.12020450,true
Michael,Clark,260.38213860,true
Anne,Richards,214.57680300,true
Renee,Williams,273.24483400,true
Derek,Thomas,128.07325180,true
Robert,White,15.36006275,
Teresa,Figueroa,157.05363740,true
Ashley,Murphy,117.94577230,true
Laura,Peterson,227.61238720,true
Brian,Cardenas,96.53388242,
Dana,Conrad,12.35802683,
Kathleen,Deleon,123.77194340,true
Ebony,Garcia,243.75461400,true
Johnathan,Allen,8.37500547,
Laura,Faulkner,0.17293006,
Kirk,Pearson,9.30353222,
Joseph,Bonilla,44.20757270,
Christina,Moore,121.10851310,true
Gary,Barber,109.57604220,true
Laura,Diaz,1.19231759,
Jerry,Stuart,222.11847120,true
Brianna,Griffith,200.53008200,true
Kenneth,Lopez,56.49118553,
Wesley,Krause,115.92178210,true
Derek,Sullivan,199.99016410,true
Brian,Johnson,202.85095400,true
Miss,Monica,190.94974670,true
Christine,Peterson,144.04827790,true
Brianna,Ramirez,196.13334180,true
Robert,Decker,71.98489152,
Michael,Bryant,82.40541955,
Jamie,Silva,161.79207880,true
Steven,Jones,96.06536657,
Christopher,Bautista,25.75261850,
Elizabeth,Stein,255.65156530,true
Brandi,Werner,297.96376780,true
Derrick,Jones,167.93459370,true
Michelle,Price,80.72808372,
Kara,Silva,32.08813700,
Lisa,Cox,33.65138701,
Jonathan,Armstrong,14.57035663,
Randy,Rodriguez,178.00771510,true
Amber,Payne,124.47760040,true
Patricia,Moore,55.82247702,
Barbara,Krueger,60.73961436,
Susan,Colon,191.55571090,true
Ryan,Morgan,296.23790310,true
Chad,Willis,8.73398060,
Brian,Curtis,154.55530920,true
Stephanie,Jones,257.30344470,true
Jeffrey,Garcia,242.17531750,true
Erik,Walker,167.34737410,true
Steven,Murray,179.81387960,true
